0 		 start2 		 start2 		 start2
1 		 start1 		 start1 		 start1
2 		 नासा 		 k1 		 nsubj
3 		 ने 		 lwg__psp 		 case
4 		 इसकी 		 r6-k2 		 nmod
5 		 पुष्टि 		 pof 		 compound
6 		 की 		 main 		 case
7 		 है 		 lwg__vaux 		 case
8 		 रूस 		 nmod__adj 		 case
9 		 लैंडर 		 k2 		 case
10 		 को 		 lwg__psp 		 case
11 		 रद्द 		 pof 		 compound
12 		 करने 		 r6 		 nmod
13 		 का 		 lwg__psp 		 pof__cn
14 		 मतलब 		 k1 		 pof__cn
15 		 था 		 main 		 pof__cn
16 		 इसका 		 r6 		 pof__cn
17 		 आकार 		 k1 		 pof__cn
18 		 क्रिकेट 		 pof__cn 		 pof__cn
19 		 बॉल 		 k1u 		 nmod
20 		 की 		 lwg__psp 		 pof__cn
21 		 तरह 		 lwg__psp 		 pof__cn
22 		 गोल 		 k1s 		 pof__cn
23 		 है 		 main 		 pof__cn
24 		 कि 		 rsym 		 punct
25 		 मिशन 		 pof__cn 		 case
26 		 प्रोफ़ाइल 		 k1 		 nsubj
27 		 परिवर्तित 		 pof 		 compound
28 		 हो 		 main 		 case
29 		 जाएगी 		 lwg__vaux 		 case
30 		 यह 		 nmod__adj 		 case
31 		 दूरी 		 k1 		 nsubj
32 		 पृथ्वी 		 r6 		 nmod
33 		 के 		 lwg__psp 		 pof__cn
34 		 व्यास 		 r6 		 pof__cn
35 		 का 		 lwg__psp 		 pof__cn
36 		 ३० 		 nmod__adj 		 pof__cn
37 		 गुना 		 k1s 		 pof__cn
38 		 है 		 main 		 pof__cn
39 		 यह 		 k1 		 pof__cn
40 		 केवल 		 lwg__rp 		 pof__cn
41 		 लैंडर 		 ras-k1 		 nmod
42 		 के 		 lwg__psp 		 pof__cn
43 		 साथ 		 lwg__psp 		 pof__cn
44 		 संवाद 		 pof 		 compound
45 		 कर 		 main 		 case
46 		 सकता 		 lwg__vaux 		 case
47 		 है 		 lwg__vaux_cont 		 case
48 		 इन 		 nmod__adj 		 case
49 		 सब 		 r6 		 nmod
50 		 का 		 lwg__psp 		 pof__cn
51 		 विकास 		 pof 		 compound
52 		 इसरो 		 k1 		 nsubj
53 		 द्वारा 		 lwg__psp 		 case
54 		 किया 		 main 		 case
55 		 गया 		 lwg__vaux 		 case
56 		 है 		 lwg__vaux_cont 		 case
57 		 उड़ान 		 k7t 		 nmod
58 		 के 		 lwg__psp 		 pof__cn
59 		 समय 		 lwg__psp 		 pof__cn
60 		 इसका 		 r6 		 pof__cn
61 		 वजन 		 k1 		 pof__cn
62 		 लगभग 		 lwg__rp 		 pof__cn
63 		 3,850 		 nmod__adj 		 pof__cn
64 		 किलो 		 k1s 		 pof__cn
65 		 था 		 main 		 pof__cn
66 		 उड़ान 		 k7t 		 nmod
67 		 के 		 lwg__psp 		 pof__cn
68 		 समय 		 lwg__psp 		 pof__cn
69 		 इसका 		 r6 		 pof__cn
70 		 वजन 		 k1 		 pof__cn
71 		 लगभग 		 lwg__rp 		 pof__cn
72 		 1400 		 nmod__adj 		 pof__cn
73 		 किलो 		 k1s 		 pof__cn
74 		 होगा 		 main 		 pof__cn
75 		 लैंडर 		 ccof 		 conj
76 		 तथा 		 r6 		 nmod
77 		 रोवर 		 ccof 		 conj
78 		 का 		 lwg__psp 		 case
79 		 वजन 		 k1 		 nsubj
80 		 लगभग 		 lwg__rp 		 case
81 		 1250 		 nmod__adj 		 case
82 		 किलो 		 k1s 		 case
83 		 होगा 		 main 		 case
84 		 दोबारा 		 adv 		 advmod
85 		 से 		 lwg__psp 		 case
86 		 लैन्डर 		 k2 		 case
87 		 से 		 lwg__psp 		 case
88 		 संपर्क 		 pof 		 compound
89 		 किया 		 main 		 case
90 		 जा 		 lwg__vaux 		 case
91 		 रहा 		 lwg__vaux_cont 		 case
92 		 है 		 lwg__vaux_cont 		 case
93 		 चन्द्रमा 		 k7p 		 nmod
94 		 पर 		 lwg__psp 		 pof__cn
95 		 गुरुत्वाकर्षण 		 k1 		 pof__cn
96 		 पृथ्वी 		 k5 		 nmod
97 		 से 		 lwg__psp 		 pof__cn
98 		 १/६ 		 k1s 		 pof__cn
99 		 है 		 main 		 pof__cn
100 		 पृथ्वी 		 k7 		 nmod
101 		 की 		 lwg__psp 		 pof__cn
102 		 तुलना 		 lwg__psp 		 pof__cn
103 		 में 		 lwg__psp 		 pof__cn
104 		 यह 		 nmod__adj 		 pof__cn
105 		 सौवें 		 nmod__adj 		 pof__cn
106 		 भाग 		 k5 		 nmod
107 		 से 		 lwg__psp 		 pof__cn
108 		 भी 		 lwg__rp 		 pof__cn
109 		 कम 		 k1s 		 pof__cn
110 		 है 		 main 		 pof__cn
111 		 और 		 main 		 pof__cn
112 		 इससे 		 k2 		 pof__cn
113 		 जुड़े 		 nmod__k1inv 		 pof__cn
114 		 प्रौद्योगिकियों 		 r6-k2 		 nmod
115 		 का 		 lwg__psp 		 pof__cn
116 		 अध्ययन 		 pof 		 compound
117 		 किया 		 ccof 		 conj
118 		 4th 		 rsym 		 punct
119 		 देश 		 k1 		 nsubj
120 		 जो 		 k1 		 nsubj
121 		 चांद 		 r6 		 nmod
122 		 की 		 lwg__psp 		 pof__cn
123 		 सतह 		 k7 		 nmod
124 		 पर 		 lwg__psp 		 pof__cn
125 		 सॉफ्ट 		 pof__cn 		 pof__cn
126 		 लैंडिंग 		 pof 		 compound
127 		 करेगा 		 main 		 case
128 		 चन्द्रमा 		 k1 		 nsubj
129 		 पृथ्वी 		 r6 		 nmod
130 		 का 		 lwg__psp 		 pof__cn
131 		 एकमात्र 		 nmod__adj 		 pof__cn
132 		 प्राकृतिक 		 mod 		 nsubj
133 		 उपग्रह 		 k1s 		 case
134 		 है 		 main 		 case
135 		 पृथ्वी 		 k5 		 nmod
136 		 से 		 lwg__psp 		 pof__cn
137 		 चन्द्रमा 		 r6 		 pof__cn
138 		 की 		 lwg__psp 		 pof__cn
139 		 दूरी 		 k1 		 pof__cn
140 		 ३८४,४०३ 		 nmod__adj 		 pof__cn
141 		 किलोमीटर 		 k1s 		 pof__cn
142 		 है 		 main 		 pof__cn
143 		 परंतु 		 main 		 pof__cn
144 		 अभी 		 k7t 		 nmod
145 		 चंद्रयान-2 		 k5 		 nmod
146 		 से 		 lwg__psp 		 pof__cn
147 		 संपर्क 		 pof 		 compound
148 		 नहीं 		 lwg__neg 		 case
149 		 हो 		 ccof 		 conj
150 		 पाया 		 lwg__vaux 		 case
151 		 है 		 lwg__vaux_cont 		 case
152 		 तथा 		 main 		 case
153 		 अभियान 		 k2 		 case
154 		 को 		 lwg__psp 		 case
155 		 2016 		 rt 		 advcl
156 		 के 		 lwg__psp 		 case
157 		 लिये 		 lwg__psp 		 case
158 		 पुनर्निर्धारित 		 pof 		 compound
159 		 किया 		 ccof 		 conj
